题号    四则运算式子
51       8 ＋ (9 × 1'1/4 ＋ 3'1/2) ＝ 
52       8 × (4 ＋ 0 × 6) ＝ 
53       8 ＋ 1 ＋ (3/5 ＋ 1) ＝ 
54       8 － 2 ＋ 5 ＋ 7 ＝ 
55       8 ＋ (9 － 0 × 3) ＝ 
56       (4 － 1) ÷ (2 － 0) ＝ 
57       0 ÷ 5 ＋ (8/9 ＋ 3) ＝ 
58       1 ＋ (8 － 1) ÷ 1'1/4 ＝ 
59       7 × 3 ＋ 1/6 × 5 ＝ 
60       4 ＋ 7 ＋ 1 － 8 ＝ 
61       (6 ＋ 1 ÷ 1) ÷ 4 ＝ 
62       (8 ＋ 4 ÷ 9) ÷ 7 ＝ 
63       (7 － (5 ＋ 1/8)) × 3 ＝ 
64       0 ÷ 9 ÷ (7 × 9) ＝ 
65       0 ÷ 3 ÷ (1 ÷ 7) ＝ 
66       1 × 3 ÷ (4 ÷ 5) ＝ 
67       3 ＋ (8 ＋ (1'1/2 ＋ 6)) ＝ 
68       (1'1/9 ＋ 8) ÷ (8 ÷ 7) ＝ 
69       6 ÷ (4 × 1) ＋ 7 ＝ 
70       1/3 × 5 ＋ 8 ÷ 1'2/7 ＝ 
71       (5 － 2) ÷ (1 ÷ 6) ＝ 
72       3 × (8 ÷ (3 ÷ 1)) ＝ 
73       3 × 7 ＋ (0 ＋ 8) ＝ 
74       6 － 1 － 3 － 4/5 ＝ 
75       6 × 3 ＋ (6 ＋ 8) ＝ 
76       7 × 0 ＋ 1'1/2 ÷ 8 ＝ 
77       0 × 1/4 ÷ 1 ＋ 4 ＝ 
78       1 ÷ (8 ＋ 3) ＋ 6 ＝ 
79       (6 － 6/7) ÷ (7 ＋ 6) ＝ 
80       7 × 3 － (1/5 ＋ 4) ＝ 
81       1 － (1/6 ＋ 0) ＋ 3 ＝ 
82       2 － 1 ＋ 2 ＋ 6 ＝ 
83       2 － 1/8 ÷ (8 － 7) ＝ 
84       5 × (3/4 × 6) － 6 ＝ 
85       2 ÷ (9 ＋ 5 － 6) ＝ 
86       6 ÷ 4 ＋ (4 ＋ 9) ＝ 
87       0 × (5 ＋ 1 × 6) ＝ 
88       4 × (8 ＋ 3) × 5 ＝ 
89       4 ＋ 5 × 7 ÷ 4 ＝ 
90       7 ÷ 2 ＋ 3 ＋ 8/9 ＝ 
91       5 × 1 × (9 ＋ 6) ＝ 
92       8 － (0 － 0) ＋ 4 ＝ 
93       (1'2/3 ＋ 3) × 3 ÷ 4 ＝ 
94       (7 － 6 ÷ 7) × 1 ＝ 
95       (8 － 0 ＋ 5) × 6/7 ＝ 
96       4 ＋ 6 × 4'1/2 ＋ 6 ＝ 
97       2 ＋ (8 － 6 ÷ 9) ＝ 
98       4 ＋ 3 × (9 ＋ 9) ＝ 
99       2 ＋ 9 ÷ (1/2 ＋ 2) ＝ 
100      (0 ＋ 4) × (6 ＋ 8) ＝ 
101      2 × 9 － 5 × 4/9 ＝ 
102      7 × (4 × (3 ＋ 0)) ＝ 
103      (9 － 5) ÷ (6 ＋ 9) ＝ 
104      5 － 5 ＋ 3 ＋ 6 ＝ 
105      6 × 3 ＋ 7 × 4 ＝ 
106      1'1/5 ＋ (5 ＋ 6) － 2 ＝ 
107      1'2/5 ÷ (2'1/3 － (3 － 3)) ＝ 
108      9 × (3 ＋ 9 × 2'2/3) ＝ 
109      1 ÷ 1 ＋ (8 ＋ 6) ＝ 
110      8 × 1 ＋ (0 ＋ 5) ＝ 
111      0 ÷ (1 ＋ 3) ÷ 8 ＝ 
112      (1/3 ＋ 3'1/3 ＋ 3) × 0 ＝ 
113      (4'1/2 ÷ 1 ＋ 9) × 9 ＝ 
114      9 － (5 ＋ 1) × 1 ＝ 
115      6 ÷ (2'1/4 － 1) × 9 ＝ 
116      9 － 1/3 ÷ 7/10 ÷ 1 ＝ 
117      5 ＋ (1/10 ＋ (9 － 4)) ＝ 
118      7 ÷ 4 × (6 ＋ 5) ＝ 
119      2 ＋ (1'1/2 － 1 × 1/5) ＝ 
120      1 ÷ (7 － 0) × 2 ＝ 
121      (3 ＋ 3 ÷ 6) × 9 ＝ 
122      2 － 9 × 1'1/2 ÷ 9 ＝ 
123      2 ÷ (4 － 6 ÷ 9) ＝ 
124      0 ＋ (5 － 0 － 1) ＝ 
125      8 ＋ (1/4 ＋ 5) × 3 ＝ 
126      6 × 1 × (1 ÷ 3) ＝ 
127      (6 ＋ 6 － 1) × 7 ＝ 
128      (8 ＋ 3) ÷ (3 × 5) ＝ 
129      0 × 0 × (7 × 3) ＝ 
130      4 ÷ 7 － 2'1/2 ÷ 5 ＝ 
131      0 × 3 ＋ (2'1/4 ＋ 1) ＝ 
132      7 × (2 ÷ 2'1/2) － 5 ＝ 
133      8 ÷ (5 × 3 ＋ 1/3) ＝ 
134      3 ÷ 1/4 － 7 × 1 ＝ 
135      6 ＋ 4 ÷ 1/4 × 2 ＝ 
136      8 × 2 × (0 ＋ 0) ＝ 
137      6 － (1 ＋ 8) ÷ 6 ＝ 
138      (6 － 1'1/4) ÷ (9 ＋ 6) ＝ 
139      6 × 2 ＋ (7 － 3) ＝ 
140      (7 － 4) × (0 × 2) ＝ 
141      (9 － 0) × (7 ＋ 9) ＝ 
142      6 ＋ (6 × 3 － 9) ＝ 
143      1 ÷ (5 × 5 － 3) ＝ 
144      1 × 7 × (7 × 0) ＝ 
145      6 × (9 － 3) ＋ 2 ＝ 
146      9 ＋ 5 × (2 ＋ 5/6) ＝ 
147      0 × (1 － 1) ÷ 8 ＝ 
148      3'1/2 ÷ 1/3 ÷ (7 － 2) ＝ 
149      8 × 5 － (4 － 0) ＝ 
150      7 ÷ 2 × (9 × 2) ＝ 
151      8 － (6 － 5) ＋ 4 ＝ 
152      5 ＋ (4 － 1) ＋ 2 ＝ 
153      7 ＋ 5 ÷ 8 ＋ 7 ＝ 
154      3/4 × (5/9 ＋ 2'2/3 ÷ 8) ＝ 
155      (7 － 2) × (2 － 2) ＝ 
156      8 ÷ (4 × (7 ÷ 1'1/3)) ＝ 
157      7 × 4 ＋ (1'1/9 ＋ 6) ＝ 
158      9 × 9 － 1'1/7 × 2 ＝ 
159      (4 ＋ 1) × 6 ÷ 5 ＝ 
160      4 ÷ (8 ＋ 4) ＋ 4/5 ＝ 
161      9 ÷ 9 × (6 ＋ 8) ＝ 
162      1'1/4 × 7 － 6 ＋ 1 ＝ 
163      3 ÷ (6 － 0) ＋ 4 ＝ 
164      2'1/2 × 8 × (9 ÷ 4) ＝ 
165      4 ＋ 6 － (9 － 3) ＝ 
166      0 × (3/5 ÷ (9 ÷ 1/5)) ＝ 
167      6 ＋ 5 × 0 × 0 ＝ 
168      4 ＋ (9 － 4/5) － 0 ＝ 
169      7 × ((6 ＋ 2) ÷ 4) ＝ 
170      1 × 9 × 4 × 2 ＝ 
171      2 ÷ 1'1/4 × (1 × 1/5) ＝ 
172      6 ÷ 6 ＋ 8 － 4 ＝ 
173      (4 － 4) ÷ 7 ÷ 2/9 ＝ 
174      (5 ＋ 2) ÷ (7 ＋ 5) ＝ 
175      (1 ＋ 8) × (4/7 － 1/5) ＝ 
176      5 ÷ 2/3 × (7 － 5/9) ＝ 
177      7 × (9 － 5) ＋ 0 ＝ 
178      1'1/7 － 4 × (0 ÷ 5) ＝ 
179      (6 － 2/5) × (2 × 1) ＝ 
180      0 ÷ 6 × (0 ÷ 5) ＝ 
181      9 × (0 ＋ 1'1/4) ＋ 3 ＝ 
182      8 × 1 ÷ (9 × 6) ＝ 
183      1 × 6 × (5 × 8) ＝ 
184      3 ÷ (3 ÷ (6 ÷ 2)) ＝ 
185      2 × 3'1/3 － 3/5 × 0 ＝ 
186      2 × (7 － (1 ＋ 4)) ＝ 
187      0 ÷ 1/3 × 6 ＋ 2 ＝ 
188      1 ＋ (6 ＋ (9 － 7)) ＝ 
189      6 ÷ 2 × (1/4 ＋ 2) ＝ 
190      2 ＋ (5 － 1/2 ＋ 9) ＝ 
191      3 ＋ 5 × 5 － 2 ＝ 
192      6 － (2 － (3/5 ＋ 0)) ＝ 
193      5 ÷ 3/5 － 3 ÷ 1 ＝ 
194      2 ＋ 2/5 ＋ 8 ÷ 4 ＝ 
195      8 － (7 ＋ 0) ＋ 2 ＝ 
196      6 × ((5 ＋ 3) ÷ 5) ＝ 
197      7 × 6 － 7 ＋ 1/2 ＝ 
198      (5 ＋ 2) × (9 － 4) ＝ 
199      2 ＋ 0 ÷ (8 × 7) ＝ 
200      5 ＋ (9 － 2/3) ＋ 5 ＝ 
201      1 ＋ 0 ÷ 1'1/8 ÷ 1 ＝ 
202      8 － 2 － (6 － 4) ＝ 
203      4 － 2/5 ＋ 0 ＋ 1/7 ＝ 
204      2 × (6 － 1/2 ÷ 2) ＝ 
205      3 ＋ (3/4 ＋ 7 ÷ 8) ＝ 
206      1 ＋ 2 ＋ 9/10 × 2 ＝ 
207      1'4/5 × 9 × (1 ÷ 6) ＝ 
208      7/10 × (1 ÷ 5) ＋ 7 ＝ 
209      (5 － (1 ＋ 1)) ÷ 4 ＝ 
210      9 ＋ 8 × (3 ＋ 3) ＝ 
211      5 ＋ (4 ＋ 1'1/3) ÷ 8 ＝ 
212      (0 ＋ 7) ÷ 9 ÷ 1 ＝ 
213      8 ÷ (6 × 7) × 2 ＝ 
214      4 × 2 － 7 ＋ 1'1/4 ＝ 
215      (5 ＋ 1 ÷ 1'2/7) × 3'1/2 ＝ 
216      4 ÷ 1 ÷ (5 × 5) ＝ 
217      1 ÷ (9 ＋ 0) － 0 ＝ 
218      5 － (8 ÷ 1 － 4) ＝ 
219      (9 ＋ 6) × (2 ÷ 6) ＝ 
220      8 ÷ (1 ＋ 8 ＋ 4) ＝ 
221      1 × 8 ＋ (8 － 0) ＝ 
222      7 ÷ (9 ÷ 1'1/3) ＋ 6 ＝ 
223      1 ＋ (7 ＋ (5 ＋ 6)) ＝ 
224      (6 ＋ 5) × (0 × 9) ＝ 
225      4 － (7 － 4'1/2) ÷ 1'1/3 ＝ 
226      (2 － (4 － 3)) × 8 ＝ 
227      (5 ＋ 5 － 2) × 4 ＝ 
228      1/5 ＋ (4 － 1 ＋ 3) ＝ 
229      8 ＋ 9 × (9 ÷ 2/5) ＝ 
230      9 × 3 － 0 × 3'1/3 ＝ 
231      2 ÷ (8 ＋ 1/2) ＋ 5 ＝ 
232      7 ＋ (4 ＋ 8) × 6 ＝ 
233      1/10 － (5 － 1) × 0 ＝ 
234      (2 ＋ 3) × 5 ÷ 9 ＝ 
235      (5 － 3) ÷ 6 ＋ 3 ＝ 
236      1/2 ＋ 8 × (0 ＋ 7) ＝ 
237      9 ＋ 2'2/3 ＋ 6 × 8 ＝ 
238      (6 ＋ 2) × (6 × 7/8) ＝ 
239      0 ＋ 6 － 1/5 ＋ 0 ＝ 
240      8 × (6 × 0 ＋ 0) ＝ 
241      1 ＋ (9 － 3/4) － 1 ＝ 
242      5 × (9 ÷ 3) ＋ 8 ＝ 
243      4 ＋ (1 － 0 － 1/3) ＝ 
244      (7 ＋ 4 × 0) ÷ 6 ＝ 
245      1 ＋ 6 ＋ 8 ＋ 7 ＝ 
246      9 － 2 ＋ 9 ÷ 1 ＝ 
247      3/8 × (2 ＋ 8 － 2'2/3) ＝ 
248      9 ÷ (2 ＋ (4 ＋ 5)) ＝ 
249      (1'1/7 ＋ 5) ÷ 1/2 ＋ 4 ＝ 
250      (1 × 5 － 2'1/3) × 2 ＝ 
251      1 ＋ 2 － 4/7 × 1 ＝ 
252      4 － (4 － 3) ＋ 9 ＝ 
253      1/2 － (8 － 8) × 1/3 ＝ 
254      (9 ＋ 7) × (0 ＋ 0) ＝ 
255      (8 ＋ 4) × (4 ＋ 2) ＝ 
256      (3 ＋ 8) × (8 × 0) ＝ 
257      2 ＋ (5 － 2 ＋ 4/5) ＝ 
258      6 ÷ (7 ＋ 2 ＋ 2) ＝ 
259      8 × (5 ＋ 2) ＋ 1'1/3 ＝ 
260      1'1/2 ＋ (4 ＋ 9 ÷ 2) ＝ 
261      2 ÷ 4 × (7 － 2) ＝ 
262      9 × ((5 ＋ 0) × 6) ＝ 
263      (6 ＋ 2) × (4 × 2) ＝ 
264      9 － 1/2 × (8 ÷ 4) ＝ 
265      7 － 7 ÷ (9 ＋ 1) ＝ 
266      1/2 ＋ 7 ＋ 5 ＋ 1 ＝ 
267      0 × 7 × 6 × 5 ＝ 
268      (7 ＋ (3 － 1'1/2)) ÷ 4 ＝ 
269      3 ＋ (8 ＋ 6) × 8 ＝ 
270      5 × (7 ＋ 1'1/3 － 5) ＝ 
271      6 ＋ 1 × (1/2 ＋ 7) ＝ 
272      (3 － 1) ÷ (3 － 5/9) ＝ 
273      6 ＋ (9 － 4) － 2 ＝ 
274      5 － 9 ÷ (6 ＋ 2) ＝ 
275      8 ÷ 1'1/2 ÷ (6 － 4) ＝ 
276      9 ＋ (8 － 7) ÷ 10 ＝ 
277      8 ÷ 5 ＋ 1/2 ＋ 2 ＝ 
278      9 ÷ 3/7 × 0 ÷ 7 ＝ 
279      (2 ＋ 4) ÷ (5 － 3) ＝ 
280      3 × (6 － 0) － 7 ＝ 
281      4 ＋ (2 × 3 ＋ 9) ＝ 
282      8 ÷ (3 ＋ 4) ÷ 1'1/2 ＝ 
283      (5 ＋ 2) ÷ (2 ÷ 9) ＝ 
284      8 ÷ 9 ÷ 7 ＋ 2 ＝ 
285      0 ＋ (5 － 5 ＋ 5) ＝ 
286      5 － (1/3 ＋ (8 － 4)) ＝ 
287      (2 ＋ 9) ÷ (9 ＋ 1) ＝ 
288      9 ÷ ((4 － 3) ÷ 9) ＝ 
289      5 ＋ (2 ＋ 7/10) ÷ 3 ＝ 
290      (8 － 7) × (2'1/2 × 7) ＝ 
291      (3 ＋ 3) × 1 ÷ 6 ＝ 
292      (5 － 0) × (2 － 1) ＝ 
293      7 ÷ (4 － 1) － 1 ＝ 
294      2 ＋ (3'1/3 ＋ 4 － 0) ＝ 
295      5 ÷ (7 ÷ 1 － 6) ＝ 
296      (1/7 × 3 ＋ 1/3) ÷ 1/9 ＝ 
297      3 × 3'1/3 × (6 ＋ 1'1/8) ＝ 
298      3 × (8 × 2 × 7) ＝ 
299      6 × ((4/5 ＋ 6) × 6) ＝ 
300      (2'1/3 ＋ 3/10 × 0) × 6 ＝ 
301      (4 ＋ 4) ÷ (1/3 × 1/4) ＝ 
302      6 ÷ (8 ＋ (4 ＋ 4)) ＝ 
303      5 ÷ (9 ÷ (3 × 6)) ＝ 
304      6 ÷ (4 ＋ 5 ÷ 1'1/4) ＝ 
305      (7 ＋ 9 ÷ 1) × 1/6 ＝ 
306      (9 × 1 － 5) × 3 ＝ 
307      9 － 4 ÷ (7 × 7) ＝ 
308      5 × (4 ＋ 3 ÷ 1/4) ＝ 
309      (5/8 － 0) × (8 ＋ 8) ＝ 
310      8 ＋ 8 ＋ (0 ＋ 2/5) ＝ 
311      6 × 3/4 ＋ (4 ＋ 8) ＝ 
312      1/7 ＋ (2 ＋ 9) × 6 ＝ 
313      1 ÷ (4 ＋ (6 ＋ 3)) ＝ 
314      8 × 8 ÷ 5 － 1 ＝ 
315      1/2 ÷ 8 － 0 × 6 ＝ 
316      1'1/2 × (8 － (5 － 4)) ＝ 
317      3 ＋ (5 ＋ 1) ＋ 6 ＝ 
318      2 ＋ (7 － 0) ＋ 5 ＝ 
319      0 ＋ 8 ÷ 1/8 × 2 ＝ 
320      (3 － 1 ÷ 4) × 8 ＝ 
321      3'1/3 ＋ 3 × 1/2 ÷ 1 ＝ 
322      4 ＋ 8 × (5 － 5/7) ＝ 
323      5 × 5 ＋ 3 － 3 ＝ 
324      1 ＋ (3 × 1'3/7 ＋ 9) ＝ 
325      4 × (1 ＋ 6 ＋ 0) ＝ 
326      4 ÷ (7 × 1/3 － 2) ＝ 
327      (6 ＋ 3) ÷ (3 ＋ 1) ＝ 
328      (3/5 ＋ (6 ＋ 7)) ÷ 5 ＝ 
329      (9 － (5 ＋ 0)) × 8 ＝ 
330      0 × (8 ÷ (2 ＋ 6)) ＝ 
331      (0 ÷ 9 ＋ 3) × 9 ＝ 
332      9 × (2 ÷ 9 － 0) ＝ 
333      1/4 ÷ (8 － 1 × 0) ＝ 
334      (7 － 1) × (8 ＋ 2) ＝ 
335      0 ÷ 2 ＋ 7 ÷ 6 ＝ 
336      (9 ＋ 0) × 9 － 8 ＝ 
337      7 ÷ 8 ＋ (2 － 2) ＝ 
338      9 ÷ (5 × 6 ＋ 1/3) ＝ 
339      5 × (4 × 4) － 1'1/6 ＝ 
340      1 × 8 ＋ 2 ÷ 9 ＝ 
341      0 ＋ (2'1/2 － 1) ÷ 1/3 ＝ 
342      2 × 9 － 2'1/4 × 2 ＝ 
343      7 ＋ 4 ＋ 4 ＋ 4 ＝ 
344      8 × 6 － 0 × 0 ＝ 
345      2'1/4 × (2 ＋ (2 ＋ 9)) ＝ 
346      4 ÷ 4 ÷ 5 × 5 ＝ 
347      (6/7 ＋ 1) × (0 × 3) ＝ 
348      7 － 4'1/2 ＋ (5 ＋ 1) ＝ 
349      (9 ＋ 5) × 5 － 5 ＝ 
350      1 ＋ (5 ＋ 6/7) ＋ 0 ＝ 
351      2 － 1/3 ＋ 1 ＋ 1 ＝ 
352      (5 － 2) × (0 ÷ 4) ＝ 
353      3 ÷ (6 － 1) － 0 ＝ 
354      3 × (0 ÷ (3 × 3/5)) ＝ 
355      5 ＋ 5 ＋ 0 ＋ 7 ＝ 
356      2 × 6 × (4 ＋ 2) ＝ 
357      0 × 1/4 ＋ (1 ＋ 6/7) ＝ 
358      (7 － 5) ÷ 1'2/3 ÷ 4 ＝ 
359      7 － (2 ＋ 1 － 1) ＝ 
360      6 × 1 － 1 ＋ 0 ＝ 
361      0 ＋ 9 × 3 ÷ 5/8 ＝ 
362      0 × 6 ＋ (8 － 1) ＝ 
363      6/7 ÷ (3 ÷ (1'1/9 × 3/10)) ＝ 
364      7 ＋ 0 × 3 － 1 ＝ 
365      9 ÷ (2 × 7) ÷ 1/2 ＝ 
366      2 ÷ 1/2 ÷ (8 － 5) ＝ 
367      2/3 ＋ (1'1/7 ＋ (4 ＋ 7)) ＝ 
368      5 × (6 ÷ 4 ÷ 9) ＝ 
369      9 × (3 ÷ (5/7 － 0)) ＝ 
370      3 × (2/3 ＋ 7) × 0 ＝ 
371      5 ÷ (2 ÷ 4) － 2 ＝ 
372      2 ＋ 7 ＋ 7 × 9 ＝ 
373      9 － 6 ＋ 7 ÷ 2 ＝ 
374      9 － (4 － 4 ÷ 4) ＝ 
375      (1'1/4 － (4 － 4)) × 3/10 ＝ 
376      (4 ＋ (3 － 0)) × 5 ＝ 
377      4 ＋ (6 ＋ (9 － 0)) ＝ 
378      6 × ((6 － 3) × 8) ＝ 
379      1'1/9 × (6 × 2) － 1 ＝ 
380      (8 × 4 ＋ 4) × 5 ＝ 
381      1 × (6 － 6 － 0) ＝ 
382      2 × 9 ＋ 3 ＋ 3 ＝ 
383      5 ÷ 1 ＋ 0 × 1 ＝ 
384      2 ＋ 9 ＋ (4 ＋ 2) ＝ 
385      9 × (4 ＋ 3) ＋ 4 ＝ 
386      1'1/4 ＋ 0 × 6 － 0 ＝ 
387      8 － (5 － 4) ÷ 1 ＝ 
388      (9 － 5/8 × 4) × 3 ＝ 
389      (6 － 5 ＋ 2) ÷ 1/10 ＝ 
390      6 ＋ 3 ＋ (7 － 1) ＝ 
391      2 － 7 ÷ (6 × 3) ＝ 
392      9 ÷ 1 ÷ (7 － 3) ＝ 
393      0 ＋ (8 － 1 ＋ 5) ＝ 
394      (0 ＋ 3) × (6 － 3/5) ＝ 
395      6 ＋ (9 ＋ 5 ＋ 1) ＝ 
396      (5 ＋ 1/4) ÷ 5 ＋ 8 ＝ 
397      5/8 ÷ 7 × (5 × 4) ＝ 
398      9 ＋ 3 － (7 ＋ 3) ＝ 
399      2 × 4'1/2 ＋ 7 ÷ 3 ＝ 
400      1 × (8 × 1'1/8 ＋ 8) ＝ 
401      9 × (0 ＋ 3 × 7) ＝ 
402      8 ＋ 2'2/3 ＋ 2 × 3 ＝ 
403      7 － 4 ÷ (4 － 3) ＝ 
404      4 ＋ (2 ＋ 1 ＋ 1) ＝ 
405      5 ＋ 1 ＋ 8 ÷ 1 ＝ 
406      3'1/2 － 1 ＋ 8 ÷ 3/10 ＝ 
407      2 ÷ 8 ＋ 5 ＋ 2 ＝ 
408      5 ÷ (7 － 1'1/2) － 1/8 ＝ 
409      8 × (6 － 5) × 4 ＝ 
410      6 × 2 × 7 × 0 ＝ 
411      0 ＋ 4 ＋ 5 × 6 ＝ 
412      8 ＋ 3 － (7 ＋ 1) ＝ 
413      5 × (7 ＋ 9 ＋ 1'4/5) ＝ 
414      3/7 － 2 ÷ 7 ＋ 4 ＝ 
415      4 ÷ 7 × (3 ÷ 5) ＝ 
416      9 × 8 ＋ 2 － 9 ＝ 
417      (5 ÷ 1 ＋ 4) ÷ 4 ＝ 
418      9 × ((2 － 2) ÷ 1) ＝ 
419      0 × 4 ＋ 1/2 × 7 ＝ 
420      1'1/4 ＋ 2'2/3 － 0 ÷ 1/9 ＝ 
421      9 － 7 ÷ (2 × 8) ＝ 
422      (0 ＋ 3) × 1 ＋ 1'1/3 ＝ 
423      4 ＋ 5 ＋ (9 － 4) ＝ 
424      (4 ＋ 4) ÷ (4 × 1/5) ＝ 
425      (9 － 7 ÷ 2) ÷ 1'1/2 ＝ 
426      0 × 3 ＋ (8 － 3) ＝ 
427      8 ＋ 3 － (8 ＋ 2) ＝ 
428      8 × 8 ＋ (9 － 6) ＝ 
429      3 ＋ (6 ＋ 1 ÷ 4) ＝ 
430      9 ＋ (6 ＋ (4 ＋ 5)) ＝ 
431      (8 ＋ 4 － 7) ÷ 3'1/3 ＝ 
432      9 × 6 － (9 － 6) ＝ 
433      1'1/2 ＋ 8 ＋ 4 × 1'1/7 ＝ 
434      5 ÷ (1 ＋ 3) ÷ 7 ＝ 
435      1 ÷ (7 － 1 × 1/2) ＝ 
436      7 × 7 ÷ 2/3 × 1 ＝ 
437      2 ÷ (7 ÷ 8) ＋ 6 ＝ 
438      4 ÷ 3 ＋ (9 ＋ 1) ＝ 
439      5 ÷ (8 － 6 ÷ 5) ＝ 
440      4 － 1 ＋ (8 ＋ 7) ＝ 
441      7/9 × 3'1/2 × (6 ÷ 4) ＝ 
442      (7 × 6 － 4) ÷ 3/5 ＝ 
443      2/3 × (1/2 × 9) ＋ 0 ＝ 
444      5 ＋ (8 － (9 － 7)) ＝ 
445      1 ＋ 7 ＋ (3/4 ＋ 1) ＝ 
446      5 × 1'1/8 ＋ (8 － 4) ＝ 
447      7 ÷ (8 ÷ (3 － 2/3)) ＝ 
448      (8 ＋ (2 ＋ 7)) ÷ 4 ＝ 
449      7 ＋ 6 ＋ (7 － 1'1/2) ＝ 
450      3 ＋ 0 ÷ (6 ＋ 7) ＝ 
451      1'1/9 ＋ 5 × (7 ＋ 0) ＝ 
452      2 ＋ (8 ＋ (1/2 ＋ 3)) ＝ 
453      (2/5 ＋ (7 ＋ 7)) × 1'1/5 ＝ 
454      3 ＋ 9 × (7 ÷ 4) ＝ 
455      3 × 1 ＋ (4 ＋ 0) ＝ 
456      6 ÷ (4 － 4 ＋ 9) ＝ 
457      (2 ＋ 5) × (1'1/5 × 7) ＝ 
458      2 ＋ 1 ＋ 6 × 5 ＝ 
459      2 × 0 ＋ (9 ＋ 8) ＝ 
460      4 ＋ (4 － 1'4/5 ＋ 4) ＝ 
461      (2 ＋ 8) × 2 － 1 ＝ 
462      5 ＋ 2/3 × (4 ＋ 1) ＝ 
463      1 × (8 × 2/9 ＋ 0) ＝ 
464      0 ÷ (5 ÷ 5) ＋ 0 ＝ 
465      3 ＋ 0 ＋ 6 × 1 ＝ 
466      0 ÷ (1 ＋ (7 ＋ 5)) ＝ 
467      (6 ＋ 2'2/3 ＋ 8) × 3 ＝ 
468      6 × (1/4 ＋ 3) ＋ 6 ＝ 
469      (8 ＋ 0) ÷ 6 ＋ 9 ＝ 
470      7 × (2 × 6) ＋ 0 ＝ 
471      8 － (3 － 1) ÷ 9 ＝ 
472      6 ÷ 2 × (2 ＋ 6) ＝ 
473      (2 － 1) × (9 － 2) ＝ 
474      7/10 ＋ (6 － 3) ＋ 8 ＝ 
475      9 × (6 ÷ 5) × 4 ＝ 
476      5 － 5 ÷ 8 － 4 ＝ 
477      6 － (4/7 ＋ 0 × 0) ＝ 
478      1 ＋ (2 ＋ 6 ＋ 2) ＝ 
479      4 × (7 － 5 ÷ 2) ＝ 
480      9 ÷ (5 － 1) × 9 ＝ 
481      9 × (8 ÷ 1) × 8 ＝ 
482      3 ＋ 1/2 ÷ 8 × 3 ＝ 
483      (7 ＋ 5 ＋ 8) ÷ 9 ＝ 
484      4 ＋ 6 － (1 ＋ 2) ＝ 
485      6 × (7 － 5 ＋ 0) ＝ 
