题号    答案           四则运算式子
36       0*******      3 － 3 ＋ 7 － 7 ＝ 
37       2*******      8 － 4 － 5 × 2/5 ＝ 
38       3'1/3***      1 × 6 ＋ 1/3 － 3 ＝ 
39       25******      6 ＋ 9 ＋ (8 ＋ 2) ＝ 
40       49******      5 × 7 ＋ 7 ＋ 7 ＝ 
41       6'22/45*      6 × 3/5 ＋ (2 ＋ 8/9) ＝ 
42       7'7/11**      7 ÷ (1'1/2 ＋ 1/3) ÷ 1/2 ＝ 
43       12'6/7**      4 ＋ 8 ＋ (6/7 ＋ 0) ＝ 
44       1'11/16*      3 × 6 ÷ (2'2/3 × 4) ＝ 
45       32'1/2**      1 ＋ 7 × 9 ÷ 2 ＝ 
46       23******      7 × 3 ＋ (2 ＋ 0) ＝ 
47       2/5*****      1 × 2/3 ÷ (5 ÷ 3) ＝ 
48       6'1/18**      1/5 × 5/9 ÷ 2 ＋ 6 ＝ 
49       7'1/3***      4 × 5/6 ＋ (6 － 2) ＝ 
50       52******      7 × 6 ＋ (1 ＋ 9) ＝ 
51       22'3/4**      8 ＋ (9 × 1'1/4 ＋ 3'1/2) ＝ 
52       32******      8 × (4 ＋ 0 × 6) ＝ 
53       10'3/5**      8 ＋ 1 ＋ (3/5 ＋ 1) ＝ 
54       18******      8 － 2 ＋ 5 ＋ 7 ＝ 
55       17******      8 ＋ (9 － 0 × 3) ＝ 
56       1'1/2***      (4 － 1) ÷ (2 － 0) ＝ 
57       3'8/9***      0 ÷ 5 ＋ (8/9 ＋ 3) ＝ 
58       6'3/5***      1 ＋ (8 － 1) ÷ 1'1/4 ＝ 
59       21'5/6**      7 × 3 ＋ 1/6 × 5 ＝ 
60       4*******      4 ＋ 7 ＋ 1 － 8 ＝ 
61       1'3/4***      (6 ＋ 1 ÷ 1) ÷ 4 ＝ 
62       1'13/63*      (8 ＋ 4 ÷ 9) ÷ 7 ＝ 
63       5'5/8***      (7 － (5 ＋ 1/8)) × 3 ＝ 
64       0*******      0 ÷ 9 ÷ (7 × 9) ＝ 
65       0*******      0 ÷ 3 ÷ (1 ÷ 7) ＝ 
66       3'3/4***      1 × 3 ÷ (4 ÷ 5) ＝ 
67       18'1/2**      3 ＋ (8 ＋ (1'1/2 ＋ 6)) ＝ 
68       7'35/36*      (1'1/9 ＋ 8) ÷ (8 ÷ 7) ＝ 
69       8'1/2***      6 ÷ (4 × 1) ＋ 7 ＝ 
70       7'8/9***      1/3 × 5 ＋ 8 ÷ 1'2/7 ＝ 
71       18******      (5 － 2) ÷ (1 ÷ 6) ＝ 
72       8*******      3 × (8 ÷ (3 ÷ 1)) ＝ 
73       29******      3 × 7 ＋ (0 ＋ 8) ＝ 
74       1'1/5***      6 － 1 － 3 － 4/5 ＝ 
75       32******      6 × 3 ＋ (6 ＋ 8) ＝ 
76       3/16****      7 × 0 ＋ 1'1/2 ÷ 8 ＝ 
77       4*******      0 × 1/4 ÷ 1 ＋ 4 ＝ 
78       6'1/11**      1 ÷ (8 ＋ 3) ＋ 6 ＝ 
79       36/91***      (6 － 6/7) ÷ (7 ＋ 6) ＝ 
80       16'4/5**      7 × 3 － (1/5 ＋ 4) ＝ 
81       3'5/6***      1 － (1/6 ＋ 0) ＋ 3 ＝ 
82       9*******      2 － 1 ＋ 2 ＋ 6 ＝ 
83       1'7/8***      2 － 1/8 ÷ (8 － 7) ＝ 
84       16'1/2**      5 × (3/4 × 6) － 6 ＝ 
85       1/4*****      2 ÷ (9 ＋ 5 － 6) ＝ 
86       14'1/2**      6 ÷ 4 ＋ (4 ＋ 9) ＝ 
87       0*******      0 × (5 ＋ 1 × 6) ＝ 
88       220*****      4 × (8 ＋ 3) × 5 ＝ 
89       12'3/4**      4 ＋ 5 × 7 ÷ 4 ＝ 
90       7'7/18**      7 ÷ 2 ＋ 3 ＋ 8/9 ＝ 
91       75******      5 × 1 × (9 ＋ 6) ＝ 
92       12******      8 － (0 － 0) ＋ 4 ＝ 
93       3'1/2***      (1'2/3 ＋ 3) × 3 ÷ 4 ＝ 
94       6'1/7***      (7 － 6 ÷ 7) × 1 ＝ 
95       11'1/7**      (8 － 0 ＋ 5) × 6/7 ＝ 
96       37******      4 ＋ 6 × 4'1/2 ＋ 6 ＝ 
97       9'1/3***      2 ＋ (8 － 6 ÷ 9) ＝ 
98       58******      4 ＋ 3 × (9 ＋ 9) ＝ 
99       5'3/5***      2 ＋ 9 ÷ (1/2 ＋ 2) ＝ 
100      56******      (0 ＋ 4) × (6 ＋ 8) ＝ 
101      15'7/9**      2 × 9 － 5 × 4/9 ＝ 
102      84******      7 × (4 × (3 ＋ 0)) ＝ 
103      4/15****      (9 － 5) ÷ (6 ＋ 9) ＝ 
104      9*******      5 － 5 ＋ 3 ＋ 6 ＝ 
105      46******      6 × 3 ＋ 7 × 4 ＝ 
106      10'1/5**      1'1/5 ＋ (5 ＋ 6) － 2 ＝ 
107      3/5*****      1'2/5 ÷ (2'1/3 － (3 － 3)) ＝ 
108      243*****      9 × (3 ＋ 9 × 2'2/3) ＝ 
109      15******      1 ÷ 1 ＋ (8 ＋ 6) ＝ 
110      13******      8 × 1 ＋ (0 ＋ 5) ＝ 
111      0*******      0 ÷ (1 ＋ 3) ÷ 8 ＝ 
112      0*******      (1/3 ＋ 3'1/3 ＋ 3) × 0 ＝ 
113      121'1/2*      (4'1/2 ÷ 1 ＋ 9) × 9 ＝ 
114      3*******      9 － (5 ＋ 1) × 1 ＝ 
115      43'1/5**      6 ÷ (2'1/4 － 1) × 9 ＝ 
116      8'11/21*      9 － 1/3 ÷ 7/10 ÷ 1 ＝ 
117      10'1/10*      5 ＋ (1/10 ＋ (9 － 4)) ＝ 
118      19'1/4**      7 ÷ 4 × (6 ＋ 5) ＝ 
119      3'3/10**      2 ＋ (1'1/2 － 1 × 1/5) ＝ 
120      2/7*****      1 ÷ (7 － 0) × 2 ＝ 
121      31'1/2**      (3 ＋ 3 ÷ 6) × 9 ＝ 
122      1/2*****      2 － 9 × 1'1/2 ÷ 9 ＝ 
123      3/5*****      2 ÷ (4 － 6 ÷ 9) ＝ 
124      4*******      0 ＋ (5 － 0 － 1) ＝ 
125      23'3/4**      8 ＋ (1/4 ＋ 5) × 3 ＝ 
126      2*******      6 × 1 × (1 ÷ 3) ＝ 
127      77******      (6 ＋ 6 － 1) × 7 ＝ 
128      11/15***      (8 ＋ 3) ÷ (3 × 5) ＝ 
129      0*******      0 × 0 × (7 × 3) ＝ 
130      1/14****      4 ÷ 7 － 2'1/2 ÷ 5 ＝ 
131      3'1/4***      0 × 3 ＋ (2'1/4 ＋ 1) ＝ 
132      3/5*****      7 × (2 ÷ 2'1/2) － 5 ＝ 
133      12/23***      8 ÷ (5 × 3 ＋ 1/3) ＝ 
134      5*******      3 ÷ 1/4 － 7 × 1 ＝ 
135      38******      6 ＋ 4 ÷ 1/4 × 2 ＝ 
136      0*******      8 × 2 × (0 ＋ 0) ＝ 
137      4'1/2***      6 － (1 ＋ 8) ÷ 6 ＝ 
138      19/60***      (6 － 1'1/4) ÷ (9 ＋ 6) ＝ 
139      16******      6 × 2 ＋ (7 － 3) ＝ 
140      0*******      (7 － 4) × (0 × 2) ＝ 
141      144*****      (9 － 0) × (7 ＋ 9) ＝ 
142      15******      6 ＋ (6 × 3 － 9) ＝ 
143      1/22****      1 ÷ (5 × 5 － 3) ＝ 
144      0*******      1 × 7 × (7 × 0) ＝ 
145      38******      6 × (9 － 3) ＋ 2 ＝ 
146      23'1/6**      9 ＋ 5 × (2 ＋ 5/6) ＝ 
147      0*******      0 × (1 － 1) ÷ 8 ＝ 
148      2'1/10**      3'1/2 ÷ 1/3 ÷ (7 － 2) ＝ 
149      36******      8 × 5 － (4 － 0) ＝ 
150      63******      7 ÷ 2 × (9 × 2) ＝ 
151      11******      8 － (6 － 5) ＋ 4 ＝ 
152      10******      5 ＋ (4 － 1) ＋ 2 ＝ 
153      14'5/8**      7 ＋ 5 ÷ 8 ＋ 7 ＝ 
154      2/3*****      3/4 × (5/9 ＋ 2'2/3 ÷ 8) ＝ 
155      0*******      (7 － 2) × (2 － 2) ＝ 
156      8/21****      8 ÷ (4 × (7 ÷ 1'1/3)) ＝ 
157      35'1/9**      7 × 4 ＋ (1'1/9 ＋ 6) ＝ 
158      78'5/7**      9 × 9 － 1'1/7 × 2 ＝ 
159      6*******      (4 ＋ 1) × 6 ÷ 5 ＝ 
160      1'2/15**      4 ÷ (8 ＋ 4) ＋ 4/5 ＝ 
161      14******      9 ÷ 9 × (6 ＋ 8) ＝ 
162      3'3/4***      1'1/4 × 7 － 6 ＋ 1 ＝ 
163      4'1/2***      3 ÷ (6 － 0) ＋ 4 ＝ 
164      45******      2'1/2 × 8 × (9 ÷ 4) ＝ 
165      4*******      4 ＋ 6 － (9 － 3) ＝ 
166      0*******      0 × (3/5 ÷ (9 ÷ 1/5)) ＝ 
167      6*******      6 ＋ 5 × 0 × 0 ＝ 
168      12'1/5**      4 ＋ (9 － 4/5) － 0 ＝ 
169      14******      7 × ((6 ＋ 2) ÷ 4) ＝ 
170      72******      1 × 9 × 4 × 2 ＝ 
171      8/25****      2 ÷ 1'1/4 × (1 × 1/5) ＝ 
172      5*******      6 ÷ 6 ＋ 8 － 4 ＝ 
173      0*******      (4 － 4) ÷ 7 ÷ 2/9 ＝ 
174      7/12****      (5 ＋ 2) ÷ (7 ＋ 5) ＝ 
175      3'12/35*      (1 ＋ 8) × (4/7 － 1/5) ＝ 
176      48'1/3**      5 ÷ 2/3 × (7 － 5/9) ＝ 
177      28******      7 × (9 － 5) ＋ 0 ＝ 
178      1'1/7***      1'1/7 － 4 × (0 ÷ 5) ＝ 
179      11'1/5**      (6 － 2/5) × (2 × 1) ＝ 
180      0*******      0 ÷ 6 × (0 ÷ 5) ＝ 
181      14'1/4**      9 × (0 ＋ 1'1/4) ＋ 3 ＝ 
182      4/27****      8 × 1 ÷ (9 × 6) ＝ 
183      240*****      1 × 6 × (5 × 8) ＝ 
184      3*******      3 ÷ (3 ÷ (6 ÷ 2)) ＝ 
185      6'2/3***      2 × 3'1/3 － 3/5 × 0 ＝ 
186      4*******      2 × (7 － (1 ＋ 4)) ＝ 
187      2*******      0 ÷ 1/3 × 6 ＋ 2 ＝ 
188      9*******      1 ＋ (6 ＋ (9 － 7)) ＝ 
189      6'3/4***      6 ÷ 2 × (1/4 ＋ 2) ＝ 
190      15'1/2**      2 ＋ (5 － 1/2 ＋ 9) ＝ 
191      26******      3 ＋ 5 × 5 － 2 ＝ 
192      4'3/5***      6 － (2 － (3/5 ＋ 0)) ＝ 
193      5'1/3***      5 ÷ 3/5 － 3 ÷ 1 ＝ 
194      4'2/5***      2 ＋ 2/5 ＋ 8 ÷ 4 ＝ 
195      3*******      8 － (7 ＋ 0) ＋ 2 ＝ 
196      9'3/5***      6 × ((5 ＋ 3) ÷ 5) ＝ 
197      35'1/2**      7 × 6 － 7 ＋ 1/2 ＝ 
198      35******      (5 ＋ 2) × (9 － 4) ＝ 
199      2*******      2 ＋ 0 ÷ (8 × 7) ＝ 
200      18'1/3**      5 ＋ (9 － 2/3) ＋ 5 ＝ 
201      1*******      1 ＋ 0 ÷ 1'1/8 ÷ 1 ＝ 
202      4*******      8 － 2 － (6 － 4) ＝ 
203      3'26/35*      4 － 2/5 ＋ 0 ＋ 1/7 ＝ 
204      11'1/2**      2 × (6 － 1/2 ÷ 2) ＝ 
205      4'5/8***      3 ＋ (3/4 ＋ 7 ÷ 8) ＝ 
206      4'4/5***      1 ＋ 2 ＋ 9/10 × 2 ＝ 
207      2'7/10**      1'4/5 × 9 × (1 ÷ 6) ＝ 
208      7'7/50**      7/10 × (1 ÷ 5) ＋ 7 ＝ 
209      3/4*****      (5 － (1 ＋ 1)) ÷ 4 ＝ 
210      57******      9 ＋ 8 × (3 ＋ 3) ＝ 
211      5'2/3***      5 ＋ (4 ＋ 1'1/3) ÷ 8 ＝ 
212      7/9*****      (0 ＋ 7) ÷ 9 ÷ 1 ＝ 
213      8/21****      8 ÷ (6 × 7) × 2 ＝ 
214      2'1/4***      4 × 2 － 7 ＋ 1'1/4 ＝ 
215      20'2/9**      (5 ＋ 1 ÷ 1'2/7) × 3'1/2 ＝ 
216      4/25****      4 ÷ 1 ÷ (5 × 5) ＝ 
217      1/9*****      1 ÷ (9 ＋ 0) － 0 ＝ 
218      1*******      5 － (8 ÷ 1 － 4) ＝ 
219      5*******      (9 ＋ 6) × (2 ÷ 6) ＝ 
220      8/13****      8 ÷ (1 ＋ 8 ＋ 4) ＝ 
221      16******      1 × 8 ＋ (8 － 0) ＝ 
222      7'1/27**      7 ÷ (9 ÷ 1'1/3) ＋ 6 ＝ 
223      19******      1 ＋ (7 ＋ (5 ＋ 6)) ＝ 
224      0*******      (6 ＋ 5) × (0 × 9) ＝ 
225      2'1/8***      4 － (7 － 4'1/2) ÷ 1'1/3 ＝ 
226      8*******      (2 － (4 － 3)) × 8 ＝ 
227      32******      (5 ＋ 5 － 2) × 4 ＝ 
228      6'1/5***      1/5 ＋ (4 － 1 ＋ 3) ＝ 
229      210'1/2*      8 ＋ 9 × (9 ÷ 2/5) ＝ 
230      27******      9 × 3 － 0 × 3'1/3 ＝ 
231      5'4/17**      2 ÷ (8 ＋ 1/2) ＋ 5 ＝ 
232      79******      7 ＋ (4 ＋ 8) × 6 ＝ 
233      1/10****      1/10 － (5 － 1) × 0 ＝ 
234      2'7/9***      (2 ＋ 3) × 5 ÷ 9 ＝ 
235      3'1/3***      (5 － 3) ÷ 6 ＋ 3 ＝ 
236      56'1/2**      1/2 ＋ 8 × (0 ＋ 7) ＝ 
237      59'2/3**      9 ＋ 2'2/3 ＋ 6 × 8 ＝ 
238      42******      (6 ＋ 2) × (6 × 7/8) ＝ 
239      5'4/5***      0 ＋ 6 － 1/5 ＋ 0 ＝ 
240      0*******      8 × (6 × 0 ＋ 0) ＝ 
241      8'1/4***      1 ＋ (9 － 3/4) － 1 ＝ 
242      23******      5 × (9 ÷ 3) ＋ 8 ＝ 
243      4'2/3***      4 ＋ (1 － 0 － 1/3) ＝ 
244      1'1/6***      (7 ＋ 4 × 0) ÷ 6 ＝ 
245      22******      1 ＋ 6 ＋ 8 ＋ 7 ＝ 
246      16******      9 － 2 ＋ 9 ÷ 1 ＝ 
247      2'3/4***      3/8 × (2 ＋ 8 － 2'2/3) ＝ 
248      9/11****      9 ÷ (2 ＋ (4 ＋ 5)) ＝ 
249      16'2/7**      (1'1/7 ＋ 5) ÷ 1/2 ＋ 4 ＝ 
250      5'1/3***      (1 × 5 － 2'1/3) × 2 ＝ 
251      2'3/7***      1 ＋ 2 － 4/7 × 1 ＝ 
252      12******      4 － (4 － 3) ＋ 9 ＝ 
253      1/2*****      1/2 － (8 － 8) × 1/3 ＝ 
254      0*******      (9 ＋ 7) × (0 ＋ 0) ＝ 
255      72******      (8 ＋ 4) × (4 ＋ 2) ＝ 
256      0*******      (3 ＋ 8) × (8 × 0) ＝ 
257      5'4/5***      2 ＋ (5 － 2 ＋ 4/5) ＝ 
258      6/11****      6 ÷ (7 ＋ 2 ＋ 2) ＝ 
259      57'1/3**      8 × (5 ＋ 2) ＋ 1'1/3 ＝ 
260      10******      1'1/2 ＋ (4 ＋ 9 ÷ 2) ＝ 
261      2'1/2***      2 ÷ 4 × (7 － 2) ＝ 
262      270*****      9 × ((5 ＋ 0) × 6) ＝ 
263      64******      (6 ＋ 2) × (4 × 2) ＝ 
264      8*******      9 － 1/2 × (8 ÷ 4) ＝ 
265      6'3/10**      7 － 7 ÷ (9 ＋ 1) ＝ 
266      13'1/2**      1/2 ＋ 7 ＋ 5 ＋ 1 ＝ 
267      0*******      0 × 7 × 6 × 5 ＝ 
268      2'1/8***      (7 ＋ (3 － 1'1/2)) ÷ 4 ＝ 
269      115*****      3 ＋ (8 ＋ 6) × 8 ＝ 
270      16'2/3**      5 × (7 ＋ 1'1/3 － 5) ＝ 
271      13'1/2**      6 ＋ 1 × (1/2 ＋ 7) ＝ 
272      9/11****      (3 － 1) ÷ (3 － 5/9) ＝ 
273      9*******      6 ＋ (9 － 4) － 2 ＝ 
274      3'7/8***      5 － 9 ÷ (6 ＋ 2) ＝ 
275      2'2/3***      8 ÷ 1'1/2 ÷ (6 － 4) ＝ 
276      9'1/10**      9 ＋ (8 － 7) ÷ 10 ＝ 
277      4'1/10**      8 ÷ 5 ＋ 1/2 ＋ 2 ＝ 
278      0*******      9 ÷ 3/7 × 0 ÷ 7 ＝ 
279      3*******      (2 ＋ 4) ÷ (5 － 3) ＝ 
280      11******      3 × (6 － 0) － 7 ＝ 
281      19******      4 ＋ (2 × 3 ＋ 9) ＝ 
282      16/21***      8 ÷ (3 ＋ 4) ÷ 1'1/2 ＝ 
283      31'1/2**      (5 ＋ 2) ÷ (2 ÷ 9) ＝ 
284      2'8/63**      8 ÷ 9 ÷ 7 ＋ 2 ＝ 
285      5*******      0 ＋ (5 － 5 ＋ 5) ＝ 
286      2/3*****      5 － (1/3 ＋ (8 － 4)) ＝ 
287      1'1/10**      (2 ＋ 9) ÷ (9 ＋ 1) ＝ 
288      81******      9 ÷ ((4 － 3) ÷ 9) ＝ 
289      5'9/10**      5 ＋ (2 ＋ 7/10) ÷ 3 ＝ 
290      17'1/2**      (8 － 7) × (2'1/2 × 7) ＝ 
291      1*******      (3 ＋ 3) × 1 ÷ 6 ＝ 
292      5*******      (5 － 0) × (2 － 1) ＝ 
293      1'1/3***      7 ÷ (4 － 1) － 1 ＝ 
294      9'1/3***      2 ＋ (3'1/3 ＋ 4 － 0) ＝ 
295      5*******      5 ÷ (7 ÷ 1 － 6) ＝ 
296      6'6/7***      (1/7 × 3 ＋ 1/3) ÷ 1/9 ＝ 
297      71'1/4**      3 × 3'1/3 × (6 ＋ 1'1/8) ＝ 
298      336*****      3 × (8 × 2 × 7) ＝ 
299      244'4/5*      6 × ((4/5 ＋ 6) × 6) ＝ 
300      14******      (2'1/3 ＋ 3/10 × 0) × 6 ＝ 
301      96******      (4 ＋ 4) ÷ (1/3 × 1/4) ＝ 
302      3/8*****      6 ÷ (8 ＋ (4 ＋ 4)) ＝ 
303      10******      5 ÷ (9 ÷ (3 × 6)) ＝ 
304      3/4*****      6 ÷ (4 ＋ 5 ÷ 1'1/4) ＝ 
305      2'2/3***      (7 ＋ 9 ÷ 1) × 1/6 ＝ 
306      12******      (9 × 1 － 5) × 3 ＝ 
307      8'45/49*      9 － 4 ÷ (7 × 7) ＝ 
308      80******      5 × (4 ＋ 3 ÷ 1/4) ＝ 
309      10******      (5/8 － 0) × (8 ＋ 8) ＝ 
310      16'2/5**      8 ＋ 8 ＋ (0 ＋ 2/5) ＝ 
311      16'1/2**      6 × 3/4 ＋ (4 ＋ 8) ＝ 
312      66'1/7**      1/7 ＋ (2 ＋ 9) × 6 ＝ 
313      1/13****      1 ÷ (4 ＋ (6 ＋ 3)) ＝ 
314      11'4/5**      8 × 8 ÷ 5 － 1 ＝ 
315      1/16****      1/2 ÷ 8 － 0 × 6 ＝ 
316      10'1/2**      1'1/2 × (8 － (5 － 4)) ＝ 
317      15******      3 ＋ (5 ＋ 1) ＋ 6 ＝ 
318      14******      2 ＋ (7 － 0) ＋ 5 ＝ 
319      128*****      0 ＋ 8 ÷ 1/8 × 2 ＝ 
320      22******      (3 － 1 ÷ 4) × 8 ＝ 
321      4'5/6***      3'1/3 ＋ 3 × 1/2 ÷ 1 ＝ 
322      38'2/7**      4 ＋ 8 × (5 － 5/7) ＝ 
323      25******      5 × 5 ＋ 3 － 3 ＝ 
324      14'2/7**      1 ＋ (3 × 1'3/7 ＋ 9) ＝ 
325      28******      4 × (1 ＋ 6 ＋ 0) ＝ 
326      12******      4 ÷ (7 × 1/3 － 2) ＝ 
327      2'1/4***      (6 ＋ 3) ÷ (3 ＋ 1) ＝ 
328      2'18/25*      (3/5 ＋ (6 ＋ 7)) ÷ 5 ＝ 
329      32******      (9 － (5 ＋ 0)) × 8 ＝ 
330      0*******      0 × (8 ÷ (2 ＋ 6)) ＝ 
331      27******      (0 ÷ 9 ＋ 3) × 9 ＝ 
332      2*******      9 × (2 ÷ 9 － 0) ＝ 
333      1/32****      1/4 ÷ (8 － 1 × 0) ＝ 
334      60******      (7 － 1) × (8 ＋ 2) ＝ 
335      1'1/6***      0 ÷ 2 ＋ 7 ÷ 6 ＝ 
336      73******      (9 ＋ 0) × 9 － 8 ＝ 
337      7/8*****      7 ÷ 8 ＋ (2 － 2) ＝ 
338      27/91***      9 ÷ (5 × 6 ＋ 1/3) ＝ 
339      78'5/6**      5 × (4 × 4) － 1'1/6 ＝ 
340      8'2/9***      1 × 8 ＋ 2 ÷ 9 ＝ 
341      4'1/2***      0 ＋ (2'1/2 － 1) ÷ 1/3 ＝ 
342      13'1/2**      2 × 9 － 2'1/4 × 2 ＝ 
343      19******      7 ＋ 4 ＋ 4 ＋ 4 ＝ 
344      48******      8 × 6 － 0 × 0 ＝ 
345      29'1/4**      2'1/4 × (2 ＋ (2 ＋ 9)) ＝ 
346      1*******      4 ÷ 4 ÷ 5 × 5 ＝ 
347      0*******      (6/7 ＋ 1) × (0 × 3) ＝ 
348      8'1/2***      7 － 4'1/2 ＋ (5 ＋ 1) ＝ 
349      65******      (9 ＋ 5) × 5 － 5 ＝ 
350      6'6/7***      1 ＋ (5 ＋ 6/7) ＋ 0 ＝ 
351      3'2/3***      2 － 1/3 ＋ 1 ＋ 1 ＝ 
352      0*******      (5 － 2) × (0 ÷ 4) ＝ 
353      3/5*****      3 ÷ (6 － 1) － 0 ＝ 
354      0*******      3 × (0 ÷ (3 × 3/5)) ＝ 
355      17******      5 ＋ 5 ＋ 0 ＋ 7 ＝ 
356      72******      2 × 6 × (4 ＋ 2) ＝ 
357      1'6/7***      0 × 1/4 ＋ (1 ＋ 6/7) ＝ 
358      3/10****      (7 － 5) ÷ 1'2/3 ÷ 4 ＝ 
359      5*******      7 － (2 ＋ 1 － 1) ＝ 
360      5*******      6 × 1 － 1 ＋ 0 ＝ 
361      43'1/5**      0 ＋ 9 × 3 ÷ 5/8 ＝ 
362      7*******      0 × 6 ＋ (8 － 1) ＝ 
363      2/21****      6/7 ÷ (3 ÷ (1'1/9 × 3/10)) ＝ 
364      6*******      7 ＋ 0 × 3 － 1 ＝ 
365      1'2/7***      9 ÷ (2 × 7) ÷ 1/2 ＝ 
366      1'1/3***      2 ÷ 1/2 ÷ (8 － 5) ＝ 
367      12'17/21      2/3 ＋ (1'1/7 ＋ (4 ＋ 7)) ＝ 
368      5/6*****      5 × (6 ÷ 4 ÷ 9) ＝ 
369      37'4/5**      9 × (3 ÷ (5/7 － 0)) ＝ 
370      0*******      3 × (2/3 ＋ 7) × 0 ＝ 
371      8*******      5 ÷ (2 ÷ 4) － 2 ＝ 
372      72******      2 ＋ 7 ＋ 7 × 9 ＝ 
373      6'1/2***      9 － 6 ＋ 7 ÷ 2 ＝ 
374      6*******      9 － (4 － 4 ÷ 4) ＝ 
375      3/8*****      (1'1/4 － (4 － 4)) × 3/10 ＝ 
376      35******      (4 ＋ (3 － 0)) × 5 ＝ 
377      19******      4 ＋ (6 ＋ (9 － 0)) ＝ 
378      144*****      6 × ((6 － 3) × 8) ＝ 
379      12'1/3**      1'1/9 × (6 × 2) － 1 ＝ 
380      180*****      (8 × 4 ＋ 4) × 5 ＝ 
381      0*******      1 × (6 － 6 － 0) ＝ 
382      24******      2 × 9 ＋ 3 ＋ 3 ＝ 
383      5*******      5 ÷ 1 ＋ 0 × 1 ＝ 
384      17******      2 ＋ 9 ＋ (4 ＋ 2) ＝ 
385      67******      9 × (4 ＋ 3) ＋ 4 ＝ 
386      1'1/4***      1'1/4 ＋ 0 × 6 － 0 ＝ 
387      7*******      8 － (5 － 4) ÷ 1 ＝ 
388      19'1/2**      (9 － 5/8 × 4) × 3 ＝ 
389      30******      (6 － 5 ＋ 2) ÷ 1/10 ＝ 
390      15******      6 ＋ 3 ＋ (7 － 1) ＝ 
391      1'11/18*      2 － 7 ÷ (6 × 3) ＝ 
392      2'1/4***      9 ÷ 1 ÷ (7 － 3) ＝ 
393      12******      0 ＋ (8 － 1 ＋ 5) ＝ 
394      16'1/5**      (0 ＋ 3) × (6 － 3/5) ＝ 
395      21******      6 ＋ (9 ＋ 5 ＋ 1) ＝ 
396      9'1/20**      (5 ＋ 1/4) ÷ 5 ＋ 8 ＝ 
397      1'11/14*      5/8 ÷ 7 × (5 × 4) ＝ 
398      2*******      9 ＋ 3 － (7 ＋ 3) ＝ 
399      11'1/3**      2 × 4'1/2 ＋ 7 ÷ 3 ＝ 
400      17******      1 × (8 × 1'1/8 ＋ 8) ＝ 
401      189*****      9 × (0 ＋ 3 × 7) ＝ 
402      16'2/3**      8 ＋ 2'2/3 ＋ 2 × 3 ＝ 
403      3*******      7 － 4 ÷ (4 － 3) ＝ 
404      8*******      4 ＋ (2 ＋ 1 ＋ 1) ＝ 
405      14******      5 ＋ 1 ＋ 8 ÷ 1 ＝ 
406      29'1/6**      3'1/2 － 1 ＋ 8 ÷ 3/10 ＝ 
407      7'1/4***      2 ÷ 8 ＋ 5 ＋ 2 ＝ 
408      69/88***      5 ÷ (7 － 1'1/2) － 1/8 ＝ 
409      32******      8 × (6 － 5) × 4 ＝ 
410      0*******      6 × 2 × 7 × 0 ＝ 
411      34******      0 ＋ 4 ＋ 5 × 6 ＝ 
412      3*******      8 ＋ 3 － (7 ＋ 1) ＝ 
